split,issue_number,final_label,before,after
train,17677,bug,http://kubernetes.io/v1.1/gs-custom.html refers to http://kubernetes.io/v1.0/docs/getting-started-guides/README.html ... which is a problem because the referent is not the latest version.,<URL> refers to <URL> ... which is a problem because the referent is not the latest version.
train,17887,bug,"getting started ubuntu guide is out of date http://kubernetes.io/v1.1/docs/getting-started-guides/ubuntu.html

```
$ cd kubernetes/cluster/ubuntu
$ ./build.sh
```

Appears to be not super usable anymore -- cc @resouer (you're the only public member of @ZJU-SEL, the folks marked as the maintainer)","getting started ubuntu guide is out of date <URL>

```
$ cd kubernetes/cluster/ubuntu
$ ./build.sh
```

Appears to be not super usable anymore -- cc <USER> (you're the only public member of <USER>, the folks marked as the maintainer)"
train,19039,bug,"missing  sentinel.py in redis image creation Hello Team,

https://github.com/kubernetes/kubernetes/blob/release-1.1/examples/redis/image/Dockerfile#L8

COPY sentinel.py /sentinel.py file is missing in this latest version. 

Thanks and Regards,
Raj","missing sentinel.py in redis image creation Hello Team,

<URL>

COPY sentinel.py /sentinel.py file is missing in this latest version. 

Thanks and Regards,
Raj"
train,19721,bug,"Broken link: Kubectl API Reference in kubernetes.io/docs 1. Open http://kubernetes.io/v1.0/docs/api-reference/definitions.html (or http://kubernetes.io/v1.0/docs/api-reference/operations.html)
2. Click on ""View the latest version here.""
3. It brings you to http://kubernetes.io/v1.1/docs/api-reference/definitions.html (404 not found). However the link should be http://kubernetes.io/v1.1/docs/api-reference/v1/definitions.html","Broken link: Kubectl API Reference in kubernetes.io/docs 1. Open <URL> (or <URL>
2. Click on ""View the latest version here.""
3. It brings you to <URL> (404 not found). However the link should be <URL>"
train,19949,bug,"Markdown to HTML conversion excludes go template content inside double curly braces For example:
https://github.com/kubernetes/kubernetes/blob/v1.1.4/docs/user-guide/images.md
![markdown](https://cloud.githubusercontent.com/assets/4631304/12495587/c9293ed2-c090-11e5-9f67-db78c930326b.png)
Compared to:
http://kubernetes.io/v1.1/docs/user-guide/images.html
![html](https://cloud.githubusercontent.com/assets/4631304/12495588/c92cd68c-c090-11e5-8cb3-51d914c8fae7.png)

Needless to say, this makes t...","Markdown to HTML conversion excludes go template content inside double curly braces For example:
<URL>
<IMAGE>
Compared to:
<URL>
<IMAGE>

Needless to say, this makes the documentation a bit confusing. :)"
train,22068,bug,broken link on troubleshooting/logging page The link to 'Collecting log files within containers with Fluentd' is broken on the page [Cluster Level Logging to Google Cloud Logging](http://kubernetes.io/v1.1/docs/getting-started-guides/logging.html) and also on this page [Logging](http://kubernetes.io/v1.1/docs/user-guide/logging.html),broken link on troubleshooting/logging page The link to 'Collecting log files within containers with Fluentd' is broken on the page [Cluster Level Logging to Google Cloud Logging](<URL> and also on this page [Logging](<URL>
train,22621,bug,"Kubectl overview web page not rendered properly   http://kubernetes.io/v1.1/docs/user-guide/kubectl-overview.html#operations the table is almost not readable. 

@kubernetes/docs @caesarxuchao @nikhiljindal","Kubectl overview web page not rendered properly <URL> the table is almost not readable. 

<USER>/docs <USER> <USER>"
train,23875,bug,"docs/devel/automation.md: points to nonexistent blunderbuss.yml In section about [Github Mungers](https://github.com/kubernetes/kubernetes/blob/master/docs/devel/automation.md#github-munger):

> blunderbuss - Tries to automatically find an owner for a PR without an owner, uses mapping file here: https://github.com/kubernetes/contrib/blob/master/mungegithub/blunderbuss.yml

Link https://github.com/kubernetes/contrib/blob/master/mungegithub/blunderbuss.yml shows 404 page.","docs/devel/automation.md: points to nonexistent blunderbuss.yml In section about [Github Mungers](<URL>

> blunderbuss - Tries to automatically find an owner for a PR without an owner, uses mapping file here: <URL>

Link <URL> shows 404 page."
train,26202,bug,`kubectl apply deployment -f` doesn't accept label/selector changes I got errors complaining about the selector and labels not matching even if I explicitly specified both. Showed @janetkuo.,`kubectl apply deployment -f` doesn't accept label/selector changes I got errors complaining about the selector and labels not matching even if I explicitly specified both. Showed <USER>.
train,33193,bug,"ExecAction htmlpreview docs are misformatted at HEAD See:

https://htmlpreview.github.io/?https://github.com/kubernetes/kubernetes/blob/HEAD/docs/api-reference/v1/definitions.html#_v1_execaction

On Chrome, I'm seeing the following text under Description:

```
Command is the command line to execute inside the container, the working directory for the command is root (/) in the container’s filesystem. The command is simply exec’d, it is not run inside a shell, so traditional shell instructions ...","ExecAction htmlpreview docs are misformatted at HEAD See:

<URL>

On Chrome, I'm seeing the following text under Description:

```
Command is the command line to execute inside the container, the working directory for the command is root (/) in the container’s filesystem. The command is simply exec’d, it is not run inside a shell, so traditional shell instructions ('
```

And the following under Required:

```
', etc) won’t work. To use a shell, you need to explicitly call out to that shell. ..."
train,47871,bug,"Generation and ObservedGeneration should not be optional These fields are marked optional on every type that uses them. This makes it impossible to _reliably_ use ObservedGeneration as a sanity check. It should always be populated so that it can be used to verify you are looking at a status for the correct version of the resource.

In Kubernetes 1.5, the ObservedGeneration in StatefulSetStatus was never populated ([this appears to have been fixed in later versions](https://github.com/kubernet...","Generation and ObservedGeneration should not be optional These fields are marked optional on every type that uses them. This makes it impossible to _reliably_ use ObservedGeneration as a sanity check. It should always be populated so that it can be used to verify you are looking at a status for the correct version of the resource.

In Kubernetes 1.5, the ObservedGeneration in StatefulSetStatus was never populated ([this appears to have been fixed in later versions](<URL> This made deleting a ..."
train,49023,bug,"API changes devel doc is (very) outdated E.g. it still refers to `pkg/api/v1/...`
Just take a look: https://github.com/kubernetes/community/blob/master/contributors/devel/api_changes.md#changing-versioned-apis

@kubernetes/sig-api-machinery-bugs","API changes devel doc is (very) outdated E.g. it still refers to `pkg/api/v1/...`
Just take a look: <URL>

<USER>/sig-api-machinery-bugs"
train,50270,bug,"minor HPA documentation fix **Is this a BUG REPORT or FEATURE REQUEST?**:
/kind bug
@kubernetes/sig-autoscaling

**What happened**:
Documented commend does not work.

**What you expected to happen**:
Change to documentation required

**How to reproduce it (as minimally and precisely as possible)**:
on following page
https://kubernetes.io/docs/tasks/run-application/horizontal-pod-autoscale-walkthrough/
the command 
`kubectl get hpa.autoscaling.v2alpha1 -o yaml > /tmp/hpa-v2.yaml`
should instea...","minor HPA documentation fix **Is this a BUG REPORT or FEATURE REQUEST?**:
/kind bug
<USER>/sig-autoscaling

**What happened**:
Documented commend does not work.

**What you expected to happen**:
Change to documentation required

**How to reproduce it (as minimally and precisely as possible)**:
on following page
<URL>
the command 
`kubectl get hpa.autoscaling.v2alpha1 -o yaml > /tmp/hpa-v2.yaml`
should instead be
`kubectl get hpa.v2alpha1.autoscaling -o yaml > /tmp/hpa-v2.yaml`

**Anything els..."
train,50880,bug,"auto-generated file cannot be updated when api types changed/updated <!-- This form is for bug reports and feature requests ONLY! 

If you're looking for help check [Stack Overflow](https://stackoverflow.com/questions/tagged/kubernetes) and the [troubleshooting guide](https://kubernetes.io/docs/tasks/debug-application-cluster/troubleshooting/).
-->

**Is this a BUG REPORT or FEATURE REQUEST?**:

/kind bug
/sig testing
/kind documentation
/priority critical-urgent

**What happened**:
I've upda...","auto-generated file cannot be updated when api types changed/updated <!-- This form is for bug reports and feature requests ONLY! 

If you're looking for help check [Stack Overflow](<URL> and the [troubleshooting guide](<URL>
-->

**Is this a BUG REPORT or FEATURE REQUEST?**:

/kind bug
/sig testing
/kind documentation
/priority critical-urgent

**What happened**:
I've updated the api in #50877. But no auto-generated files have be updated when running updating shell scripts. Unlike PR #49530...."
train,52391,bug,"Kubernetes Extended Scheduler Json example incorrectly mentioned  **BUG REPORT**:

@kubernetes/sig-scheduling
@kubernetes/sig-docs
 /kind bug

K8S Extended scheduler example provides incorrect Key for configuring Extenders:
https://github.com/kubernetes/kubernetes/blob/master/examples/scheduler-policy-config-with-extender.json mentions to configure extender by using ""extenders"" keyword however when configured this way the scheduler skips the extender configuration.

Scheduler Extender configu...","Kubernetes Extended Scheduler Json example incorrectly mentioned **BUG REPORT**:

<USER>/sig-scheduling
<USER>/sig-docs
 /kind bug

K8S Extended scheduler example provides incorrect Key for configuring Extenders:
<URL> mentions to configure extender by using ""extenders"" keyword however when configured this way the scheduler skips the extender configuration.

Scheduler Extender configuration needs to be provided with keyword ""ExtenderConfigs"":

Reproduce: Run scheduler using --policy-config-fi..."
