candidate_id,question,ideal_answer,ground_truth_chunk_ids,source_urls,source_types,issue_numbers,notes,hand_labeled_for_judge_check,curator_status
cand_0010,What problem was reported in issue #128162: Pod admission can fail due to webhooks + context deadline ex...?,"Pod admission failed with the error ""Timeout: request did not complete within requested timeout - context deadline exceeded""

This occurred with Datadog's admission controller, when a default deny policy was applied and the network policy allowing ingress to Datadog's admission controller was miss...",section_aware__issue__issue_128162__0001,https://github.com/kubernetes/kubernetes/issues/128162,issue,128162,"Issue #128162 | labels: kind/bug, sig/api-machinery, lifecycle/rotten, needs-triage | section: ### What happened? | char_length: 498",false,candidate
cand_0011,What was the reported issue in #128310: Why remove client tag in apiserver metrics??,"`apiserver_request_count{client=""Go-http-client/2.0"",code=""200"",contentType=""application/json"",resource=""nodes"",scope=""cluster"",subresource="""",verb=""LIST""} 3486`",section_aware__issue__issue_128310__0001,https://github.com/kubernetes/kubernetes/issues/128310,issue,128310,"Issue #128310 | labels: sig/api-machinery, kind/feature, lifecycle/rotten, needs-triage | section: ### What would you like to be added? | char_length: 199",false,candidate
cand_0012,What was the reported issue in #128330: CRD Mutation handler with leases?,"We have a leases feature in Kubernetes, If we have an api server is deployed with v1 we can create another v10 version of api server. When deploying CRDs we can use the apiversion v10 to deploy on a newly leased for 10 hours. So that we can test it in 10 hours and move it to v1 CRD upgrade.",section_aware__issue__issue_128330__0001,https://github.com/kubernetes/kubernetes/issues/128330,issue,128330,"Issue #128330 | labels: sig/api-machinery, kind/feature, lifecycle/rotten, needs-triage | section: ### What would you like to be added? | char_length: 330",false,candidate
cand_0013,What problem was reported in issue #128413: response_sizes metrics for verb=WATCH is only present for bu...?,"The `apiserver_response_sizes` correctly report `GET` and `LIST` metrics for all resources. However, for `WATCH`, its only present for built in resources. This means resources defined in CustomResourceDefinitions are not present.",section_aware__issue__issue_128413__0002,https://github.com/kubernetes/kubernetes/issues/128413,issue,128413,"Issue #128413 | labels: kind/bug, sig/api-machinery, lifecycle/rotten, needs-triage | section: ### What happened? | char_length: 1024",false,candidate
cand_0014,"What problem was reported in issue #128669: NUMA-aware memory manager and Topology Manager policy of ""re...?","Running K8s 1.29.2, with the kubelet NUMA-aware memory manager policy set to ""Static"" and the Topology Manager policy set to ""restricted"".

1. The /var/lib/kubelet/memory_manager_state file shows:

```
[sysadmin@controller-0 pods(keystone_admin)]$ sudo cat /var/lib/kubelet/memory_manager_state...",section_aware__issue__issue_128669__0002,https://github.com/kubernetes/kubernetes/issues/128669,issue,128669,"Issue #128669 | labels: priority/backlog, sig/node, kind/feature, lifecycle/rotten, needs-triage | section: ### What happened? | char_length: 1024",false,candidate
cand_0015,What problem was reported in issue #128684: No overflow validation when using MilliValue()?,"There is a function called `MilliValue()` to represent values in milli units and its comment says ""this could **overflow** an int64; if that's a concern, call `Value()` first to verify the number is small enough."" 
```go
 staging/src/k8s.io/apimachinery/pkg/api/resource/quantity.",section_aware__issue__issue_128684__0001,https://github.com/kubernetes/kubernetes/issues/128684,issue,128684,"Issue #128684 | labels: kind/bug, sig/scheduling, sig/api-machinery, lifecycle/rotten, needs-triage | section: ### What happened? | char_length: 958",false,candidate
cand_0016,What was the reported issue in #128788: Initiate websocket handshake to watch for events in cache.Li...?,"The k8s client-go should make use of the upgradable websocket connection to watch for changes to resources, if the apiserver version allows it.",section_aware__issue__issue_128788__0001,https://github.com/kubernetes/kubernetes/issues/128788,issue,128788,"Issue #128788 | labels: priority/awaiting-more-evidence, sig/api-machinery, kind/feature, lifecycle/rotten, needs-triage | section: ### What would you like to be added? | char_length: 181",false,candidate
cand_0017,What problem was reported in issue #128798: Deployment controller: Inconsistency of deletePod pod update...?,"We observed that in cluster with phase=Failed pods present, the update of the deployment using Recreate strategy was stalling for ~10 minutes (ProgressDeadlineSeconds period).",section_aware__issue__issue_128798__0001,https://github.com/kubernetes/kubernetes/issues/128798,issue,128798,"Issue #128798 | labels: kind/bug, sig/apps, lifecycle/rotten, needs-triage | section: ### What happened? | char_length: 971",false,candidate
cand_0018,What was the reported issue in #128892: Migrating cel ext library cost close to the func?,"Current we keep the extension libraries added in Kubernetes located at: https://github.com/kubernetes/kubernetes/tree/master/staging/src/k8s.io/apiserver/pkg/cel/library
All the cost defined for the ext library is defined in https://github.com/kubernetes/kubernetes/blob/master/staging/src/k8s.",section_aware__issue__issue_128892__0001,https://github.com/kubernetes/kubernetes/issues/128892,issue,128892,"Issue #128892 | labels: sig/api-machinery, kind/feature, lifecycle/rotten, needs-triage | section: ### What would you like to be added? | char_length: 597",false,candidate
cand_0019,What problem was reported in issue #129357: [FG:InPlacePodVerticalScaling] Pod CPU limit is not configur...?,"As a result of #124216, which was introduced in v.1.32, a pod CPU limit calculated in `ResourceConfigForPod()` is rounded up to the nearest 10ms in `libcontainer` at resizing the pod:
- Resize a pod:
 ```
 $ kubectl patch pod resize-pod --subresource=resize --patch '{""spec"":{""containers"":[{""name""...",section_aware__issue__issue_129357__0002,https://github.com/kubernetes/kubernetes/issues/129357,issue,129357,"Issue #129357 | labels: kind/bug, sig/node, needs-triage | section: ### What happened? | char_length: 1024",false,candidate
cand_0020,"What problem was reported in issue #129453: can MountPath contain  "":"" ??","https://github.com/kubernetes/kubernetes/blob/master/pkg/apis/core/types.go#L2110-L2113
```
 RecursiveReadOnly *RecursiveReadOnlyMode
 // Required. If the path is not an absolute path (e.g. some/path) it
 // will be prepended with the appropriate root prefix for the operating
 // system.",section_aware__issue__issue_129453__0001,https://github.com/kubernetes/kubernetes/issues/129453,issue,129453,"Issue #129453 | labels: kind/bug, priority/backlog, sig/storage, sig/node, sig/windows, triage/accepted | section: ### What happened? | char_length: 800",false,candidate
cand_0021,What problem was reported in issue #131134: Potential incorrect RealServer weight update logic in IPVS p...?,"In the `syncProxyRules` logic of kube-proxy's IPVS mode, during the initial sync phase, the weight of each RealServer is updated if **any** of the existing destinations (`curDests`) has a different weight from the newly created `newDest`. This logic may lead to unnecessary or even incorrect updates.",section_aware__issue__issue_131134__0001,https://github.com/kubernetes/kubernetes/issues/131134,issue,131134,"Issue #131134 | labels: kind/bug, sig/network, needs-triage | section: ### What happened? | char_length: 320",false,candidate
cand_0022,What was the reported issue in #131319: Default memory eviction-hard threshold in kubernetes should ...?,"Current default eviction threshold is hardcoded as 100MiB, this works for default linux default (66MiB). But this can be adjusted, and with swap use-cases, kubernetes environments will likely see this sysctl parameter adjusted to a higher value than default.",section_aware__issue__issue_131319__0001,https://github.com/kubernetes/kubernetes/issues/131319,issue,131319,"Issue #131319 | labels: sig/node, kind/feature, lifecycle/rotten, needs-triage | section: ### What would you like to be added? | char_length: 934",false,candidate
cand_0023,What problem was reported in issue #132025: scheduler handleSchedulingFailure: DATA RACE?,"I have https://github.com/kubernetes/kubernetes/pull/116980 which runs integration tests with race detection enabled. Running it shows in several tests:
```
k8s.io/kubernetes/test/integration/scheduler: preemption
...",section_aware__issue__issue_132025__0001,https://github.com/kubernetes/kubernetes/issues/132025,issue,132025,"Issue #132025 | labels: kind/bug, sig/scheduling, needs-triage | section: ### What happened? | char_length: 335",false,candidate
cand_0024,What problem was reported in issue #132526: Follow-Up Issue to improve returned error message on Too hig...?,"As a follow up of the pr #132374 to improve the returned error message.
Title of this issue might be improved. Link to the conversations: https://github.com/kubernetes/kubernetes/pull/132374/files#r2164278417",section_aware__issue__issue_132526__0001,https://github.com/kubernetes/kubernetes/issues/132526,issue,132526,"Issue #132526 | labels: kind/bug, lifecycle/rotten, needs-triage, sig/etcd | section: ### What happened? | char_length: 230",false,candidate
cand_0025,What was the reported issue in #132964: [client-go] Optionally populate `EventTime` in event recorde...?,"When using event record, the event object is created without EventTime populated, so this issue would like to evaluate the feasibility to make it optional so that the compatibility is guaranteed and no regression.",section_aware__issue__issue_132964__0001,https://github.com/kubernetes/kubernetes/issues/132964,issue,132964,"Issue #132964 | labels: sig/node, sig/api-machinery, kind/feature, lifecycle/rotten, needs-triage | section: ### What would you like to be added? | char_length: 329",false,candidate
cand_0026,What problem was reported in issue #133388: An object created through SSA with a non-nil deletion timest...?,"```
$ cat cm.yaml
apiVersion: v1
kind: ConfigMap
metadata:
 creationTimestamp: ""2025-08-05T16:42:06Z""
 deletionTimestamp: 2025-08-05T16:42:06Z
 name: test
 namespace: kubevirt-vm $ k apply --server-side -f cm.yaml
Warning: Detected changes to resource test which is currently being deleted.",section_aware__issue__issue_133388__0001,https://github.com/kubernetes/kubernetes/issues/133388,issue,133388,"Issue #133388 | labels: kind/bug, priority/important-soon, sig/api-machinery, triage/accepted | section: ### What happened? | char_length: 956",false,candidate
cand_0027,What was the reported issue in #133698: [Flaking Test] UT pkg/kubelet/util/manager/watch_based_manag...?,"1960110800559411200 | #133697Feature deps (0b1f017) by tallclair | 06:44:49Aug 26 2025, 06:44:49 UTC+0800 | 27m22s | FAILURE
-- | -- | -- | -- | --
1960105210852413440 | #133697Feature deps (0184196) by tallclair | 06:22:43Aug 26 2025, 06:22:43 UTC+0800 | 26m32s | ABORTED
1960035364202614784 | #1336...",section_aware__issue__issue_133698__0004,https://github.com/kubernetes/kubernetes/issues/133698,issue,133698,"Issue #133698 | labels: kind/bug, kind/flake, sig/windows, sig/testing, lifecycle/rotten, needs-triage | section: ### Since when has it been flaking? | char_length: 1024",false,candidate
cand_0028,What resolution or maintainer guidance was provided for issue #119640 (NCC-E003660-WV3: Privilege Escalation via `nodes/p...)?,"please reopen if this is still a concern after that KEP. There will be some time needed to adopt it widely, but it it possible now",section_aware__comment__comment_4377270599__0000,https://github.com/kubernetes/kubernetes/issues/119640#issuecomment-4377270599,comment,119640,Comment by SergeyKanzhelev (MEMBER) on issue #119640 | maintainer_like: True | char_length: 138,false,candidate
cand_0029,What resolution or maintainer guidance was provided for issue #127803 (Support takeover for devicemanager/device-plugin)?,"> Please correct me if I'm wrong, according to https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/daemon-set-v1/#DaemonSetSpec
> 
> When updateStrategy.rollingUpdate.",section_aware__comment__comment_2537604278__0000,https://github.com/kubernetes/kubernetes/issues/127803#issuecomment-2537604278,comment,127803,Comment by lengrongfu (MEMBER) on issue #127803 | maintainer_like: True | char_length: 875,false,candidate
cand_0030,What resolution or maintainer guidance was provided for issue #128162 (Pod admission can fail due to webhooks + context d...)?,"We have to limit the time spent handling the request, so the failures of those webhooks _were_ ignored, but if they're collectively too slow then the handler will still fail.",section_aware__comment__comment_2430178458__0000,https://github.com/kubernetes/kubernetes/issues/128162#issuecomment-2430178458,comment,128162,Comment by BenTheElder (MEMBER) on issue #128162 | maintainer_like: True | char_length: 774,false,candidate
cand_0031,What resolution or maintainer guidance was provided for issue #128684 (No overflow validation when using MilliValue())?,"> Since most calls to MilliValue() do not verify that the number is small enough first, we think the simplest fix might be let MilliValue() or ScaledValue() handle overflow automatically. For example, capping the return value at maxInt64 when overflow occurs.",section_aware__comment__comment_2501977360__0000,https://github.com/kubernetes/kubernetes/issues/128684#issuecomment-2501977360,comment,128684,Comment by BenTheElder (MEMBER) on issue #128684 | maintainer_like: True | char_length: 455,false,candidate
cand_0032,What resolution or maintainer guidance was provided for issue #128788 (Initiate websocket handshake to watch for events i...)?,"> I'm assuming k8s already has plans to modernize the event streaming API.

That was actually put in place long prior to Kubernetes 1.0 - https://github.com/kubernetes/kubernetes/pull/493

There are no plans to change existing consumers to use the websocket version that I'm aware of.",section_aware__comment__comment_2504232755__0000,https://github.com/kubernetes/kubernetes/issues/128788#issuecomment-2504232755,comment,128788,Comment by liggitt (MEMBER) on issue #128788 | maintainer_like: True | char_length: 524,false,candidate
cand_0033,What resolution or maintainer guidance was provided for issue #129357 ([FG:InPlacePodVerticalScaling] Pod CPU limit is no...)?,"@johnbelamaric brought up a good point - if an NRI plugin alters the request we could also run into a similar problem of the runtime not doing what the Kubelet asked for.

We also don't want to bake in implementation details from runc - we don't know that the runtime is runc.",section_aware__comment__comment_2578771972__0000,https://github.com/kubernetes/kubernetes/issues/129357#issuecomment-2578771972,comment,129357,Comment by tallclair (MEMBER) on issue #129357 | maintainer_like: True | char_length: 522,false,candidate
cand_0034,"What resolution or maintainer guidance was provided for issue #129453 (can MountPath contain  "":"" ?)?","Test results: we can see the same result as containerd. ':' is a part of the file name. @thockin 

```console
(base) ➜ ~ kubectl get no -oyaml | grep containerRuntimeVersion
 containerRuntimeVersion: cri-o://1.31.0
 containerRuntimeVersion: cri-o://1.31.",section_aware__comment__comment_2574805232__0000,https://github.com/kubernetes/kubernetes/issues/129453#issuecomment-2574805232,comment,129453,Comment by carlory (MEMBER) on issue #129453 | maintainer_like: True | char_length: 754,false,candidate
cand_0035,What resolution or maintainer guidance was provided for issue #131319 (Default memory eviction-hard threshold in kubernet...)?,"Some notes from the SIG Node meeting: 1. There are more configuration settings that are not properly configured for kubelet. Like reserved (system and kube) memory, cpu, etc. Which will effectively effect this behavior in similar way.",section_aware__comment__comment_2822446589__0000,https://github.com/kubernetes/kubernetes/issues/131319#issuecomment-2822446589,comment,131319,Comment by SergeyKanzhelev (MEMBER) on issue #131319 | maintainer_like: True | char_length: 992,false,candidate
cand_0036,What resolution or maintainer guidance was provided for issue #132025 (scheduler handleSchedulingFailure: DATA RACE)?,Created https://github.com/kubernetes/kubernetes/pull/139057. > Could be yet another root cause. Maybe rethink how `podInfo.PodInfo` is protected: would making it an atomic pointer help? That would force all accesses to use locking.,section_aware__comment__comment_4449746493__0000,https://github.com/kubernetes/kubernetes/issues/132025#issuecomment-4449746493,comment,132025,Comment by macsko (MEMBER) on issue #132025 | maintainer_like: True | char_length: 471,false,candidate
cand_0037,What resolution or maintainer guidance was provided for issue #132526 (Follow-Up Issue to improve returned error message ...)?,"Greetings @serathius ,
some time has past since we last worked on this, but as this seems like a low-hanging frood, we should fix this. You mentioned, that returning the error with revision 0 might not be correct. So before we touch this again, lets identify what we actual want 👍 Any ideas on that?",section_aware__comment__comment_3172839480__0000,https://github.com/kubernetes/kubernetes/issues/132526#issuecomment-3172839480,comment,132526,Comment by PatrickLaabs (MEMBER) on issue #132526 | maintainer_like: True | char_length: 300,false,candidate
cand_0038,What resolution or maintainer guidance was provided for issue #132964 ([client-go] Optionally populate `EventTime` in eve...)?,"> @SergeyKanzhelev I would also think switching to events/v1 API instead, because `EventTime` only gives the accurate timestamp of **first** observed event, and we will need to update the schema for core/v1 event if we want the latest event timestamp.",section_aware__comment__comment_3548694100__0000,https://github.com/kubernetes/kubernetes/issues/132964#issuecomment-3548694100,comment,132964,Comment by SergeyKanzhelev (MEMBER) on issue #132964 | maintainer_like: True | char_length: 783,false,candidate
cand_0039,What resolution or maintainer guidance was provided for issue #133388 (An object created through SSA with a non-nil delet...)?,"I don't think it's actually SSA specific, I think it also applies to any create-via-patch of a resource that allows create on update. Yes, it's a bug and we should just fix it.",section_aware__comment__comment_4402699981__0000,https://github.com/kubernetes/kubernetes/issues/133388#issuecomment-4402699981,comment,133388,Comment by liggitt (MEMBER) on issue #133388 | maintainer_like: True | char_length: 177,false,candidate
cand_0040,What resolution or maintainer guidance was provided for issue #133788 (Panic in client-go ListAllByNamespace)?,"```diff
diff --git a/staging/src/k8s.io/client-go/tools/cache/thread_safe_store_test.go b/staging/src/k8s.io/client-go/tools/cache/thread_safe_store_test.go
index 44d620e53c9..c7725ea0c36 100644
--- a/staging/src/k8s.io/client-go/tools/cache/thread_safe_store_test.go
+++ b/staging/src/k8s.",section_aware__comment__comment_3580542242__0001,https://github.com/kubernetes/kubernetes/issues/133788#issuecomment-3580542242,comment,133788,Comment by aojea (MEMBER) on issue #133788 | maintainer_like: True | char_length: 1024,false,candidate
cand_0041,What resolution or maintainer guidance was provided for issue #133892 (The kubelet process always recursively modifies th...)?,"There must be something odd in the CSI driver. Indeed, the mount directory is created with `0750` (and it might be an oversight). But the CSI driver is supposed to **mount** something there. I.e. after the mount, there will be root directory of the volume.",section_aware__comment__comment_3589860706__0000,https://github.com/kubernetes/kubernetes/issues/133892#issuecomment-3589860706,comment,133892,Comment by jsafrane (MEMBER) on issue #133892 | maintainer_like: True | char_length: 354,false,candidate
cand_0042,"What resolution or maintainer guidance was provided for issue #134080 (kube-apiserver log spammed with ""failed to connect...)?","```
W0923 18:07:34.536179 11 logging.go:55] [core] [Channel #13 SubChannel #14]grpc: addrConn.createTransport failed to connect to {Addr: ""127.0.0.1:2379"", ServerName: ""127.0.0.1:2379"", BalancerAttributes: {""<%!p(pickfirstleaf.managedByPickfirstKeyType={})>"": ""<%!p(bool=true)>"" }}.",section_aware__comment__comment_3325410257__0001,https://github.com/kubernetes/kubernetes/issues/134080#issuecomment-3325410257,comment,134080,Comment by BenTheElder (MEMBER) on issue #134080 | maintainer_like: True | char_length: 1024,false,candidate
