golden_id,question,ground_truth_chunk_ids,retrieved_chunk_ids_top_10,hit_at_5,recall_at_5,reciprocal_rank
rag_gold_0013,What was the reported issue in #131319: Default memory eviction-hard threshold in kubernetes should ...?,section_aware__issue__issue_131319__0001,section_aware__issue__issue_131319__0000;section_aware__comment__comment_2817668815__0005;section_aware__comment__comment_2823873298__0000;section_aware__issue__issue_131319__0001;section_aware__comment__comment_2817668815__0002;section_aware__comment__comment_2817668815__0004;section_aware__comment__comment_2812466473__0001;section_aware__comment__comment_4063219143__0000;section_aware__comment__comment_2823873298__0001;section_aware__issue__issue_136999__0001,1.0,1.0,0.25
rag_gold_0014,What was the reported issue in #132964: [client-go] Optionally populate `EventTime` in event recorde...?,section_aware__issue__issue_132964__0001,section_aware__issue__issue_132964__0000;section_aware__issue__issue_132964__0001;section_aware__comment__comment_3544065816__0000;section_aware__comment__comment_3544331457__0000;section_aware__comment__comment_3544309565__0000;section_aware__issue__issue_132964__0002;section_aware__comment__comment_3274988351__0000;section_aware__comment__comment_4298118712__0000;section_aware__comment__comment_3548694100__0000;section_aware__comment__comment_3544000811__0000,1.0,1.0,0.5
rag_gold_0015,What resolution or maintainer guidance was provided for issue #127803 (Support takeover for devicemanager/device-plugin)?,section_aware__comment__comment_2537604278__0000,section_aware__issue__issue_127803__0000;section_aware__issue__issue_127803__0002;section_aware__issue__issue_127803__0001;section_aware__comment__comment_2388512852__0000;section_aware__comment__comment_2388522433__0000;section_aware__comment__comment_2389222458__0000;section_aware__issue__issue_137381__0002;section_aware__issue__issue_138407__0005;section_aware__issue__issue_135472__0003;section_aware__comment__comment_2389212892__0000,0.0,0.0,0.0
rag_gold_0016,What resolution or maintainer guidance was provided for issue #128162 (Pod admission can fail due to webhooks + context d...)?,section_aware__comment__comment_2430178458__0000,section_aware__issue__issue_128162__0000;section_aware__issue__issue_128162__0004;section_aware__comment__comment_2430178458__0000;section_aware__issue__issue_128162__0003;section_aware__comment__comment_2430181868__0000;section_aware__issue__issue_128162__0001;section_aware__issue__issue_128162__0002;section_aware__issue__issue_138315__0010;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0013;section_aware__issue__issue_137381__0002,1.0,1.0,0.3333333333333333
rag_gold_0017,What resolution or maintainer guidance was provided for issue #128684 (No overflow validation when using MilliValue())?,section_aware__comment__comment_2501977360__0000,section_aware__issue__issue_128684__0000;section_aware__comment__comment_2501977360__0000;section_aware__issue__issue_128684__0012;section_aware__issue__issue_128684__0001;section_aware__issue__issue_128684__0008;section_aware__issue__issue_128684__0005;section_aware__comment__comment_2550117998__0000;section_aware__issue__issue_128684__0011;section_aware__comment__comment_3496439836__0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0021,1.0,1.0,0.5
rag_gold_0018,What resolution or maintainer guidance was provided for issue #128788 (Initiate websocket handshake to watch for events i...)?,section_aware__comment__comment_2504232755__0000,section_aware__issue__issue_128788__0000;section_aware__comment__comment_2504223920__0000;section_aware__issue__issue_128788__0001;section_aware__comment__comment_2481701716__0000;section_aware__issue__issue_137381__0002;section_aware__comment__comment_2504232755__0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0021;section_aware__comment__comment_3487993335__0000;section_aware__comment__comment_3488276810__0000;section_aware__issue__issue_138644__0005,0.0,0.0,0.16666666666666666
rag_gold_0019,What resolution or maintainer guidance was provided for issue #129357 ([FG:InPlacePodVerticalScaling] Pod CPU limit is no...)?,section_aware__comment__comment_2578771972__0000,section_aware__issue__issue_129357__0000;section_aware__comment__comment_2607254216__0000;section_aware__comment__comment_2607170035__0000;section_aware__comment__comment_2607254538__0000;section_aware__issue__issue_137381__0002;section_aware__comment__comment_2465664661__0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_workloads_pods_index_md__0029;section_aware__comment__comment_2563388589__0000;section_aware__issue__issue_128684__0002;section_aware__issue__issue_129357__0002,0.0,0.0,0.0
rag_gold_0020,What resolution or maintainer guidance was provided for issue #131319 (Default memory eviction-hard threshold in kubernet...)?,section_aware__comment__comment_2822446589__0000,section_aware__issue__issue_131319__0000;section_aware__comment__comment_2817668815__0005;section_aware__comment__comment_2823873298__0000;section_aware__issue__issue_131319__0001;section_aware__comment__comment_2817668815__0002;section_aware__comment__comment_4063219143__0000;section_aware__comment__comment_2812466473__0001;section_aware__comment__comment_2817668815__0004;section_aware__issue__issue_136999__0001;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0021,0.0,0.0,0.0
rag_gold_0021,What resolution or maintainer guidance was provided for issue #132025 (scheduler handleSchedulingFailure: DATA RACE)?,section_aware__comment__comment_4449746493__0000,section_aware__issue__issue_132025__0000;section_aware__comment__comment_4441786364__0001;section_aware__issue__issue_137328__0006;section_aware__issue__issue_132025__0010;section_aware__comment__comment_3242550503__0001;section_aware__comment__comment_4441785196__0001;section_aware__comment__comment_3242550242__0001;section_aware__issue__issue_132025__0002;section_aware__issue__issue_137328__0000;section_aware__issue__issue_138316__0000,0.0,0.0,0.0
rag_gold_0022,What resolution or maintainer guidance was provided for issue #132964 ([client-go] Optionally populate `EventTime` in eve...)?,section_aware__comment__comment_3548694100__0000,section_aware__issue__issue_132964__0000;section_aware__comment__comment_3544065816__0000;section_aware__issue__issue_132964__0001;section_aware__comment__comment_4298118712__0000;section_aware__issue__issue_132964__0002;section_aware__comment__comment_3544309565__0000;section_aware__issue__issue_138841__0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0021;section_aware__issue__issue_134565__0000;section_aware__issue__issue_133788__0005,0.0,0.0,0.0
rag_gold_0023,What resolution or maintainer guidance was provided for issue #133388 (An object created through SSA with a non-nil delet...)?,section_aware__comment__comment_4402699981__0000,section_aware__issue__issue_133388__0000;section_aware__comment__comment_4402568392__0000;section_aware__issue__issue_134902__0000;section_aware__comment__comment_3474883591__0000;section_aware__comment__comment_3499714435__0009;section_aware__comment__comment_3499714435__0006;section_aware__comment__comment_3499714435__0000;section_aware__comment__comment_3496439836__0000;section_aware__comment__comment_3479675448__0000;section_aware__comment__comment_3474650071__0000,0.0,0.0,0.0
rag_gold_0024,What resolution or maintainer guidance was provided for issue #133892 (The kubelet process always recursively modifies th...)?,section_aware__comment__comment_3589860706__0000,section_aware__issue__issue_133892__0000;section_aware__comment__comment_2822446589__0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_architecture_index_md__0009;section_aware__issue__issue_138556__0002;section_aware__issue__issue_138633__0002;section_aware__issue__issue_135736__0001;section_aware__docs__kubernetes_website_content_en_docs_concepts_storage_volumes_md__0075;section_aware__comment__comment_3570435907__0000;section_aware__comment__comment_4398109868__0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_storage_volumes_md__0034,0.0,0.0,0.0
